date,close,portfolio_value,daily_return,position,beta,g_pos,g_neg,holding_days,target_days,cash
2020-12-18,1213.9999999999927,1570000.0,0.0,0,1.1,0.0,0.0,0,0,1570000.0
2020-12-21,-4152.0,1570000.0,0.0,0,1.2,83.7352518320536,0.0,0,0,1570000.0
2020-12-22,-4020.0,1570000.0,0.0,0,1.2,0.0,4120.677577074681,0,0,1570000.0
2020-12-23,-4034.0,1570000.0,0.0,0,1.2,0.0,7275.808847047576,0,0,1570000.0
2020-12-24,-4006.0,1570000.0,0.0,0,1.2,0.0,9666.178929314012,0,0,1570000.0
2020-12-25,-4068.0,1569920.0,-5.095541401278769e-05,10,1.2,0.0,0.0,0,1,368600.0
2020-12-28,-4026.0,1569320.0,-0.0003821850794945014,0,1.2,0.0,1003.0443090516121,1,0,1569320.0
2020-12-29,-4112.0,1569320.0,0.0,0,1.2,0.0,1332.070074062494,1,0,1569320.0
2020-12-30,-4052.0,1570160.0,0.0005352636810846967,10,1.2,0.0,0.0,0,6,361960.0
2020-12-31,-3990.0,1570780.0,0.0003948642176594408,10,1.2,0.0,0.0,1,6,361960.0
2021-01-04,-3988.0,1570800.0,1.273252778877243e-05,10,1.2,42.98162474292445,0.0,2,6,361960.0
2021-01-05,1206.9999999999927,1571020.0,0.0001400560224089631,10,1.1,80.43833470991451,0.0,3,6,361960.0
2021-01-06,1224.9999999999927,1570380.0,-0.0004073786457206019,10,1.1,4180.613229773827,0.0,4,6,361960.0
2021-01-07,-4136.0,1569320.0,-0.0006749958608743833,10,1.2,7426.949494696352,0.0,5,6,361960.0
2021-01-08,1206.9999999999927,1570540.0,0.0007774067749088953,0,1.1,5325.801478276329,1071.9948407228303,6,0,1570540.0
2021-01-11,1282.9999999999927,1570540.0,0.0,0,1.1,7760.555583546038,0.0,6,0,1570540.0
2021-01-12,1267.9999999999927,1570540.0,0.0,0,1.1,9507.649525503008,0.0,6,0,1570540.0
2021-01-13,1260.9999999999927,1569220.0,-0.000840475250550754,-10,1.1,0.0,0.0,0,1,406230.0
2021-01-14,1286.9999999999927,1569530.0,0.00019755037534574527,0,1.1,380.8578419174094,0.0,1,0,1569530.0
2021-01-15,1203.9999999999927,1569530.0,0.0,0,1.1,775.2812806024416,0.0,1,0,1569530.0
2021-01-18,1210.9999999999927,1569530.0,0.0,0,1.1,1089.9558906089699,0.0,1,0,1569530.0
2021-01-19,1205.9999999999927,1568080.0,-0.0009238434435786536,-10,1.1,0.0,0.0,0,7,397540.0
2021-01-20,1226.9999999999927,1567870.0,-0.00013392173868675972,-10,1.1,0.0,32.25442487044131,1,7,397540.0
2021-01-21,1237.9999999999927,1567760.0,-7.01588779682405e-05,-10,1.1,0.0,36.2063497684497,2,7,397540.0
2021-01-22,1246.9999999999927,1567670.0,-5.740674593046613e-05,-10,1.1,0.0,25.409321206811633,3,7,397540.0
2021-01-25,1174.9999999999927,1568390.0,0.0004592803332335027,-10,1.1,9.678090928680836,3.9445549926351315,4,7,397540.0
2021-01-26,1148.9999999999927,1568650.0,0.00016577509420478975,-10,1.1,0.0,39.53321300206745,5,7,397540.0
2021-01-27,1167.9999999999927,1568460.0,-0.00012112325885316189,-10,1.1,0.0,91.09811400476218,6,7,397540.0
2021-01-28,1241.9999999999927,1567840.0,-0.00039529219744205424,0,1.1,0.0,116.93119805124745,7,0,1567840.0
2021-01-29,1152.9999999999927,1567840.0,0.0,0,1.1,27.225436139462136,73.29949133356692,7,0,1567840.0
2021-02-01,1138.9999999999927,1567840.0,0.0,0,1.1,0.0,107.44360816661701,7,0,1567840.0
2021-02-02,1133.9999999999927,1567840.0,0.0,0,1.1,0.0,141.41298522169353,7,0,1567840.0
2021-02-03,1141.9999999999927,1567240.0,-0.00038269211143993065,10,1.1,0.0,0.0,0,1,436460.0
2021-02-04,1191.9999999999927,1567280.0,2.552257471744035e-05,0,1.1,0.0,11.520249558530267,1,0,1567280.0
2021-02-05,1196.9999999999927,1567280.0,0.0,0,1.1,17.13494233187932,0.0,1,0,1567280.0
2021-02-08,1193.9999999999927,1567280.0,0.0,0,1.1,34.801276517389354,0.0,1,0,1567280.0
2021-02-09,1247.9999999999927,1567280.0,0.0,0,1.1,58.65622931802224,0.0,1,0,1567280.0
2021-02-10,1168.9999999999927,1567280.0,0.0,0,1.1,120.30318596045888,0.0,1,0,1567280.0
2021-02-18,1321.9999999999927,1567280.0,0.0,0,1.1,99.31577118224364,5.584013793213198,1,0,1567280.0
2021-02-19,1355.9999999999927,1567280.0,0.0,0,1.1,200.3303757014408,0.0,1,0,1567280.0
2021-02-22,1403.0,1566890.0,-0.0002488387524883784,-10,1.1,0.0,0.0,0,1,291720.0
2021-02-23,1290.0,1570230.0,0.0021316110256623944,0,1.1,114.96249096707572,0.0,1,0,1570230.0
2021-02-24,1294.0,1570230.0,0.0,0,1.1,104.80182802307172,0.0,1,0,1570230.0
2021-02-25,1147.0,1570230.0,0.0,0,1.1,86.27718331131464,0.0,1,0,1570230.0
2021-02-26,1158.0,1570230.0,0.0,0,1.1,0.0,117.21844876835817,1,0,1570230.0
2021-03-01,1296.0,1570230.0,0.0,0,1.1,0.0,221.40752708411173,1,0,1570230.0
2021-03-02,1296.9999999999927,1570230.0,0.0,0,1.1,0.0,184.14930135483195,1,0,1570230.0
2021-03-03,1304.0,1570230.0,0.0,0,1.1,9.874362588243962,138.5950925145171,1,0,1570230.0
2021-03-04,1295.9999999999927,1570230.0,0.0,0,1.1,44.668585610385136,75.67502982237067,1,0,1570230.0
2021-03-05,1536.9999999999927,1570230.0,0.0,0,1.1,70.49960540713337,21.50604961912937,1,0,1570230.0
2021-03-08,1552.9999999999927,1570230.0,0.0,0,1.1,291.06951021418166,0.0,1,0,1570230.0
2021-03-09,1384.9999999999927,1570230.0,0.0,0,1.1,466.62806794360466,0.0,1,0,1570230.0
2021-03-10,1500.9999999999927,1570230.0,0.0,0,1.1,447.1941743070133,0.0,1,0,1570230.0
2021-03-11,1514.0,1569430.0,-0.0005094795030027299,-10,1.1,0.0,0.0,0,1,265370.0
2021-03-12,7410.0,1570540.0,0.0007072631464926094,0,1.0,50.41776607728261,0.0,1,0,1570540.0
2021-03-15,7480.0,1570540.0,0.0,0,1.0,4696.870923155534,0.0,1,0,1570540.0
2021-03-16,7360.0,1570540.0,0.0,0,1.0,8399.245262034574,0.0,1,0,1570540.0
2021-03-17,7420.0,1570540.0,0.0,0,1.0,11096.350191853398,0.0,1,0,1570540.0
2021-03-18,7420.0,1570340.0,-0.00012734473493192233,-10,1.0,0.0,0.0,0,1,306140.0
2021-03-19,7370.0,1570740.0,0.00025472190735764677,0,1.0,1113.8659900676098,0.0,1,0,1570740.0
2021-03-22,7390.0,1570740.0,0.0,0,1.0,1470.3871968042417,0.0,1,0,1570740.0
2021-03-23,7480.0,1569740.0,-0.0006366426015763649,-10,1.0,0.0,0.0,0,9,304140.0
2021-03-24,7450.0,1570040.0,0.00019111445207475874,-10,1.0,53.14705973259087,0.0,1,9,304140.0
2021-03-25,1583.9999999999927,1570540.0,0.00031846322386686055,-10,1.1,81.6710008017344,0.0,2,9,304140.0
2021-03-26,1588.9999999999927,1569940.0,-0.000382034204795767,-10,1.1,0.0,4562.368620514692,3,9,304140.0
2021-03-29,1571.9999999999927,1569940.0,0.0,-10,1.1,0.0,8158.55022394422,4,9,304140.0
2021-03-30,1584.9999999999927,1570240.0,0.00019109010535434123,-10,1.1,0.0,10881.381736927866,5,9,304140.0
2021-03-31,7320.0,1571340.0,0.0007005298553086625,-10,1.0,0.0,12763.02257606271,6,9,304140.0
2021-04-01,7230.0,1572240.0,0.0005727595555384823,-10,1.0,2613.366033499752,8902.10289527674,7,9,304140.0
2021-04-02,1508.0,1569840.0,-0.001526484506182313,-10,1.1,5181.299718479726,5104.322294542419,8,9,304140.0
2021-04-06,1362.0,1569740.0,-6.370075931305674e-05,0,1.1,2933.977024999208,6237.571029633321,9,0,1569740.0
2021-04-07,1438.9999999999927,1569740.0,0.0,0,1.1,567.8451769163064,7480.582038693269,9,0,1569740.0
2021-04-08,1410.9999999999927,1569740.0,0.0,0,1.1,0.0,8622.248307262593,9,0,1569740.0
2021-04-09,7330.0,1569740.0,0.0,0,1.0,0.0,9765.800684939004,9,0,1569740.0
2021-04-12,7320.0,1569740.0,0.0,0,1.0,2760.234608368804,5751.74957902209,9,0,1569740.0
2021-04-13,7290.0,1569740.0,0.0,0,1.0,5510.469216737608,1747.6984731051755,9,0,1569740.0
2021-04-14,1440.9999999999927,1569740.0,0.0,0,1.1,8220.022173326506,0.0,9,0,1569740.0
2021-04-15,7400.0,1569740.0,0.0,0,1.0,5088.393530071405,1870.085642459193,9,0,1569740.0
2021-04-16,7460.0,1569740.0,0.0,0,1.0,7052.692245708689,0.0,9,0,1569740.0
2021-04-19,7570.0,1569740.0,0.0,0,1.0,8268.909769163178,0.0,9,0,1569740.0
2021-04-20,1448.0,1569740.0,0.0,0,1.1,8843.988403013938,0.0,9,0,1569740.0
2021-04-21,1433.0,1569740.0,0.0,0,1.1,4005.577195038794,3673.8745063105675,9,0,1569740.0
2021-04-22,1423.0,1569740.0,0.0,0,1.1,0.0,6463.516700653127,9,0,1569740.0
2021-04-23,1361.0,1569740.0,0.0,0,1.1,0.0,8419.69047015455,9,0,1569740.0
2021-04-26,1361.0,1569740.0,0.0,0,1.1,0.0,10424.277054693928,9,0,1569740.0
2021-04-27,1420.0,1569740.0,0.0,0,1.1,0.0,11617.806777100735,9,0,1569740.0
2021-04-28,1347.0,1570990.0,0.0007963102169785685,10,1.1,0.0,0.0,0,1,138960.0
2021-04-29,1298.0,1571940.0,0.0006047142247882498,0,1.1,0.0,43.7675439063829,1,0,1571940.0
2021-04-30,1314.0,1571940.0,0.0,0,1.1,0.0,113.42207972328599,1,0,1571940.0
2021-05-06,1223.0,1571940.0,0.0,0,1.1,0.0,150.43745810448988,1,0,1571940.0
2021-05-07,1376.0,1571940.0,0.0,0,1.1,0.0,247.05144448697223,1,0,1571940.0
2021-05-10,1380.0,1571940.0,0.0,0,1.1,29.188320985356718,192.52547975804316,1,0,1571940.0
2021-05-11,1420.0,1571940.0,0.0,0,1.1,59.31711979556008,136.3685642825323,1,0,1571940.0
2021-05-12,1399.0,1571940.0,0.0,0,1.1,129.44591860576344,40.211648807021454,1,0,1571940.0
2021-05-13,1280.0,1571940.0,0.0,0,1.1,170.3092287656154,0.0,1,0,1571940.0
2021-05-14,1344.0,1571940.0,0.0,0,1.1,94.28377525098837,47.40311791394454,1,0,1571940.0
2021-05-17,1259.0,1571940.0,0.0,0,1.1,78.18176593789164,35.30110860084782,1,0,1571940.0
2021-05-18,1311.0,1571940.0,0.0,0,1.1,0.0,115.31003064612091,1,0,1571940.0
2021-05-19,1248.0,1571940.0,0.0,0,1.1,0.0,133.92656972108128,1,0,1571940.0
2021-05-20,1257.0,1571940.0,0.0,0,1.1,0.0,195.42595245124258,1,0,1571940.0
2021-05-21,1551.0,1573160.0,0.0007761110474955313,10,1.1,0.0,0.0,0,1,114230.0
2021-05-24,1548.0,1573730.0,0.00036232805309066585,0,1.1,208.20514449491935,0.0,1,0,1573730.0
2021-05-25,1445.0,1573730.0,0.0,0,1.1,369.6784948948652,0.0,1,0,1573730.0
2021-05-26,1446.0,1573730.0,0.0,0,1.1,413.0395947466522,0.0,1,0,1573730.0
2021-05-27,1496.0,1573730.0,0.0,0,1.1,432.3219469778547,0.0,1,0,1573730.0
2021-05-28,1509.0,1573730.0,0.0,0,1.1,475.68491075797846,0.0,1,0,1573730.0
2021-05-31,1537.0,1574200.0,0.0002986535174394067,-10,1.1,0.0,0.0,0,1,128770.0
2021-06-01,1582.0,1575000.0,0.0005081946385465663,0,1.1,23.422753203403673,0.0,1,0,1575000.0
2021-06-02,1597.0,1575000.0,0.0,0,1.1,86.13748866297173,0.0,1,0,1575000.0
2021-06-03,7950.0,1575000.0,0.0,0,1.0,155.09644773343967,0.0,1,0,1575000.0
2021-06-04,7730.0,1575000.0,0.0,0,1.0,5174.231632932534,0.0,1,0,1575000.0
2021-06-07,1397.0,1575000.0,0.0,0,1.1,8946.65071338925,0.0,1,0,1575000.0
2021-06-08,1361.0,1575000.0,0.0,0,1.1,6398.186927378668,1315.2504997037038,1,0,1575000.0
2021-06-09,1242.0,1575000.0,0.0,0,1.1,3831.8597763548064,2642.351920108413,1,0,1575000.0
2021-06-10,1297.0,1575000.0,0.0,0,1.1,1182.6828825776797,4040.317883474144,1,0,1575000.0
2021-06-11,-5030.0,1575000.0,0.0,0,1.2,0.0,5337.109330558689,1,0,1575000.0
2021-06-15,-4902.0,1575000.0,0.0,0,1.2,0.0,11754.726279947621,1,0,1575000.0
2021-06-16,-4762.0,1575000.0,0.0,0,1.2,0.0,16224.250458819226,1,0,1575000.0
2021-06-17,-4784.0,1577460.0,0.0015619047619046533,10,1.2,0.0,0.0,0,1,145700.0
2021-06-18,1359.0,1578060.0,0.00038035829751636996,0,1.1,0.0,1898.7574562313164,1,0,1578060.0
2021-06-21,1372.9999999999927,1578060.0,0.0,0,1.1,2924.97277356188,0.0,1,0,1578060.0
2021-06-22,1536.0,1578060.0,0.0,0,1.1,5840.582928164861,0.0,1,0,1578060.0
2021-06-23,1501.0,1578060.0,0.0,0,1.1,8876.45689710088,0.0,1,0,1578060.0
2021-06-24,1468.0,1578060.0,0.0,0,1.1,10948.103107306028,0.0,1,0,1578060.0
2021-06-25,1391.0,1578060.0,0.0,0,1.1,12138.775539897051,0.0,1,0,1578060.0
2021-06-28,1420.0,1576570.0,-0.0009441973055523967,-10,1.1,0.0,0.0,0,1,219170.0
2021-06-29,1435.0,1577800.0,0.0007801746830145007,0,1.1,0.0,1.9068076664681826,1,0,1577800.0
2021-06-30,1411.0,1577800.0,0.0,0,1.1,0.0,1.4283309270324374,1,0,1577800.0
2021-07-01,1314.0,1577800.0,0.0,0,1.1,0.0,31.67761829080757,1,0,1577800.0
2021-07-02,1325.0,1577800.0,0.0,0,1.1,0.0,125.77579770178282,1,0,1577800.0
2021-07-05,1265.0,1577800.0,0.0,0,1.1,0.0,184.2936704052056,1,0,1577800.0
2021-07-06,1372.0,1578280.0,0.0003042210673089851,10,1.1,0.0,0.0,0,1,205840.0
2021-07-07,1339.0,1577230.0,-0.0006652811921838975,0,1.1,0.0,0.0,1,0,1577230.0
2021-07-08,1288.0,1577230.0,0.0,0,1.1,0.0,0.8298459734667603,1,0,1577230.0
2021-07-09,1358.0,1577230.0,0.0,0,1.1,0.0,33.510634428868464,1,0,1577230.0
2021-07-12,1253.0,1577230.0,0.0,0,1.1,27.447516964600318,0.0,1,0,1577230.0
2021-07-13,7470.0,1577230.0,0.0,0,1.0,0.0,52.03245231261213,1,0,1577230.0
2021-07-14,7530.0,1577230.0,0.0,0,1.0,4812.302886390417,0.0,1,0,1577230.0
2021-07-15,7480.0,1577230.0,0.0,0,1.0,8652.183717622507,0.0,1,0,1577230.0
2021-07-16,1371.0,1577230.0,0.0,0,1.1,11511.344746600063,0.0,1,0,1577230.0
2021-07-19,1387.0,1577230.0,0.0,0,1.1,8257.776116039962,1933.0027980113268,1,0,1577230.0
2021-07-20,1426.0,1577230.0,0.0,0,1.1,5008.702626669164,3866.7864514976723,1,0,1577230.0
2021-07-21,1503.0,1577230.0,0.0,0,1.1,1790.7035309234507,5773.073070037674,1,0,1577230.0
2021-07-22,7510.0,1577230.0,0.0,0,1.0,0.0,7644.786618830849,1,0,1577230.0
2021-07-23,7640.0,1577230.0,0.0,0,1.0,2829.863823360732,3513.793299334438,1,0,1577230.0
2021-07-26,7620.0,1577230.0,0.0,0,1.0,5770.026662517548,0.0,1,0,1577230.0
2021-07-27,1051.0,1577230.0,0.0,0,1.1,8665.225169150588,0.0,1,0,1577230.0
2021-07-28,7610.0,1577230.0,0.0,0,1.0,5028.0418765190725,2299.959564511341,1,0,1577230.0
2021-07-29,7640.0,1577230.0,0.0,0,1.0,7058.725728926139,0.0,1,0,1577230.0
2021-07-30,7720.0,1577230.0,0.0,0,1.0,8284.373602736485,0.0,1,0,1577230.0
2021-08-02,7590.0,1577230.0,0.0,0,1.0,8822.969487212864,0.0,1,0,1577230.0
2021-08-03,7640.0,1577230.0,0.0,0,1.0,9219.214892684242,0.0,1,0,1577230.0
2021-08-04,7560.0,1577230.0,0.0,0,1.0,9665.46029815562,0.0,1,0,1577230.0
2021-08-05,7500.0,1577830.0,0.0003804137633700577,-10,1.0,0.0,0.0,0,1,262430.0
2021-08-06,7610.0,1577630.0,-0.00012675636792303102,0,1.0,0.0,94.69441777762171,1,0,1577630.0
2021-08-09,7620.0,1577630.0,0.0,0,1.0,0.0,79.38883555524342,1,0,1577630.0
2021-08-10,7660.0,1577630.0,0.0,0,1.0,0.6300857583934061,51.44749274220747,1,0,1577630.0
2021-08-11,7650.0,1577630.0,0.0,0,1.0,52.73459881538774,0.0,1,0,1577630.0
2021-08-12,7660.0,1577630.0,0.0,0,1.0,85.59769560439044,0.0,1,0,1577630.0
2021-08-13,7700.0,1577630.0,0.0,0,1.0,125.11388851711713,0.0,1,0,1577630.0
2021-08-16,7730.0,1577630.0,0.0,0,1.0,183.765993484335,0.0,1,0,1577630.0
2021-08-17,7790.0,1577630.0,0.0,-10,1.0,0.0,0.0,0,1,259130.0
2021-08-18,7770.0,1575530.0,-0.0013311105899355136,0,1.0,91.3266449948485,0.0,1,0,1575530.0
2021-08-19,7770.0,1575530.0,0.0,0,1.0,141.47522993237783,0.0,1,0,1575530.0
2021-08-20,7910.0,1575530.0,0.0,0,1.0,176.0027888178335,0.0,1,0,1575530.0
2021-08-23,13755.0,1575530.0,0.0,0,0.9,308.6398281036708,0.0,1,0,1575530.0
2021-08-24,13975.0,1575530.0,0.0,0,0.9,4979.511035654984,0.0,1,0,1575530.0
2021-08-25,13957.0,1575530.0,0.0,0,0.9,8833.229246596602,0.0,1,0,1575530.0
2021-08-26,13744.0,1575530.0,0.0,0,0.9,11721.27871250075,0.0,1,0,1575530.0
2021-08-27,13888.0,1575130.0,-0.0002538828203842991,-10,0.9,0.0,0.0,0,1,335810.0
2021-08-30,13997.0,1575510.0,0.00024124992857732508,0,0.9,1157.0963602589036,0.0,1,0,1575510.0
2021-08-31,7740.0,1575510.0,0.0,0,1.0,1669.6057408798504,0.0,1,0,1575510.0
2021-09-01,7530.0,1575510.0,0.0,0,1.0,0.0,4802.957062914258,1,0,1575510.0
2021-09-02,7640.0,1575510.0,0.0,0,1.0,0.0,8778.730832599073,1,0,1575510.0
2021-09-03,7590.0,1575510.0,0.0,0,1.0,0.0,11682.946194099279,1,0,1575510.0
2021-09-06,7750.0,1578010.0,0.0015867877703092947,10,1.0,0.0,0.0,0,1,265510.0
2021-09-07,7570.0,1578010.0,0.0,0,1.0,0.0,1083.5433204658898,1,0,1578010.0
2021-09-08,7670.0,1578010.0,0.0,0,1.0,0.0,1577.7451652196794,1,0,1578010.0
2021-09-09,7710.0,1577710.0,-0.00019011286367009994,10,1.0,0.0,0.0,0,4,281810.0
2021-09-10,14046.0,1578810.0,0.000697213049293044,10,0.9,57.07891795849305,0.0,1,4,281810.0
2021-09-13,7830.0,1578910.0,6.333884381271027e-05,10,1.0,5051.799509472401,0.0,2,4,281810.0
2021-09-14,7730.0,1577910.0,-0.0006333483225769987,10,1.0,3805.6012095294245,284.0874143427373,3,4,281810.0
2021-09-15,1588.0,1578110.0,0.0001267499413781792,0,1.1,2441.240163686522,690.0120827855487,4,0,1578110.0
2021-09-16,1560.0,1578110.0,0.0,0,1.1,0.0,6117.353393724483,4,0,1578110.0
2021-09-17,1642.0,1578110.0,0.0,0,1.1,0.0,10574.9691154109,4,0,1578110.0
2021-09-22,1999.0,1578110.0,0.0,0,1.1,0.0,14009.411030268293,4,0,1578110.0
2021-09-23,8060.0,1578110.0,0.0,0,1.0,0.0,16240.946961143893,4,0,1578110.0
2021-09-24,8140.0,1578110.0,0.0,0,1.0,3054.6871251000216,11863.919800529628,4,0,1578110.0
2021-09-27,14019.0,1578110.0,0.0,0,0.9,6133.872396198005,7439.9622144847535,4,0,1578110.0
2021-09-28,14015.0,1578110.0,0.0,0,0.9,13887.080250877665,0.0,4,0,1578110.0
2021-09-29,13739.0,1578110.0,0.0,0,0.9,19731.832348000895,0.0,4,0,1578110.0
2021-09-30,13887.0,1577120.0,-0.0006273326954394642,-10,0.9,0.0,0.0,0,1,346190.0
2021-10-08,7840.0,1574750.0,-0.001502739170132883,0,1.0,2403.071926862937,0.0,1,0,1574750.0
2021-10-11,14406.0,1574750.0,0.0,0,0.9,0.0,2914.2670198845817,1,0,1574750.0
2021-10-12,7920.0,1574750.0,0.0,0,1.0,1524.2654164102478,211.1038648662569,1,0,1574750.0
2021-10-13,7860.0,1574750.0,0.0,0,1.0,0.0,3952.038863568328,1,0,1574750.0
2021-10-14,7810.0,1574750.0,0.0,0,1.0,0.0,6815.551606404105,1,0,1574750.0
2021-10-15,7670.0,1574750.0,0.0,0,1.0,0.0,8841.046814222651,1,0,1574750.0
2021-10-18,8070.0,1574750.0,0.0,0,1.0,0.0,10180.301798922574,1,0,1574750.0
2021-10-19,8080.0,1578350.0,0.0022860771551040937,10,1.0,0.0,0.0,0,1,141750.0
2021-10-20,7720.0,1577950.0,-0.0002534292140526917,0,1.0,0.0,258.33390579353096,1,0,1577950.0
2021-10-21,7640.0,1577950.0,0.0,0,1.0,0.0,382.15551433667156,1,0,1577950.0
2021-10-22,7490.0,1577950.0,0.0,0,1.0,0.0,541.8169288225856,1,0,1577950.0
2021-10-25,7690.0,1577950.0,0.0,0,1.0,0.0,790.3763774475713,1,0,1577950.0
2021-10-26,7810.0,1577950.0,0.0,0,1.0,0.0,821.3565279054011,1,0,1577950.0
2021-10-27,8290.0,1577950.0,0.0,0,1.0,0.0,753.0881330456674,1,0,1577950.0
2021-10-28,7890.0,1577950.0,0.0,0,1.0,417.6760556899589,225.04990302134007,1,0,1577950.0
2021-10-29,8180.0,1577950.0,0.0,0,1.0,466.8298824481767,74.20372977955782,1,0,1577950.0
